spec_id,farmer_uid,data_year,moisture,color,rice_impurity,rice_husk,good_grain_pct,broken_grain_pct,grade,variety,status,price_riel
4069,LA KAY|LK031,2023,13.8,Good,1.08,2.04,50,50,B2,Phka Rumduol,New_Organic,1750
4070,LA KAY|LK033,2023,14,Good,2.2,2.4,89,11,A2,Phka Rumduol,New_Organic,1850
4071,LA KAY|LK034,2023,13,Good,2,2,80,20,A1,Phka Rumduol,New_Organic,1950
4072,LA KAY|LK036,2023,13,Good,2,2.8,70,30,A2,Phka Rumduol,New_Organic,1850
4073,LA KAY|LK038,2023,13,Good,2,2,80,20,A1,Phka Rumduol,New_Organic,1950
4074,LA KAY|LK039,2023,13.9,Good,3.52,3.2,50,50,B2,Phka Rumduol,New_Organic,1750
4075,NHANG SUM|NS002,2023,14,Good,0,2,0,0,A,White Rice,Organic,1550
4076,NHANG SUM|NS002,2023,13,Good,1,1,95,5,A1,Phka Rumduol,Organic,1950
4077,NHANG SUM|NS003,2023,13.5,Good,0,2,0,0,A,White Rice,Organic,1550
4078,NHANG SUM|NS003,2023,14,Good,2,2,98,2,A1,Phka Rumduol,Organic,1950
4079,NHANG SUM|NS005,2023,13,Good,1,1,84,16,A1,Phka Rumduol,Organic,1950
4080,NHANG SUM|NS006,2023,13,Good,1,1,94,6,A1,Phka Rumduol,Organic,1950
4081,NHANG SUM|NS007,2023,13,Good,1,1,90,10,A1,Phka Rumduol,Organic,1950
4082,NHANG SUM|NS010,2023,14,Good,0,2,0,0,A,White Rice,Organic,1550
4083,NHANG SUM|NS010,2023,13,Good,1,1,75,25,A1,Phka Rumduol,Organic,1950
4084,NHANG SUM|NS011,2023,14,Good,2,2,95,5,A1,Phka Rumduol,Organic,1950
4085,NHANG SUM|NS013,2023,13,Good,2,2,70,30,A2,Phka Rumduol,Organic,1850
4086,NHANG SUM|NS014,2023,13,Good,1,1,88,12,A1,Phka Rumduol,Organic,1950
4087,NHANG SUM|NS015,2023,14,Good,1,1,70,30,A2,Phka Rumduol,Organic,1850
4088,NHANG SUM|NS018,2023,13,Good,2,2,91,9,A1,Phka Rumduol,Organic,1950
4089,NHANG SUM|NS019,2023,14,Good,0,2,0,0,A,White Rice,New_Organic,1550
4090,NHANG SUM|NS019,2023,14,Good,0,2,0,0,A,White Rice,New_Organic,1550
4091,NHANG SUM|NS019,2023,13.5,Good,1,2,70,30,A2,Phka Rumduol,New_Organic,1850
4092,NHANG SUM|NS022,2023,14.4,Good,2,2,60,40,B1,Phka Rumduol,Organic,1800
4093,NHANG SUM|NS026,2023,14,Medium,1,2,75,25,A1,Phka Rumduol,Organic,1950
4094,NHANG SUM|NS028,2023,13,Good,1,1,85,15,A1,Phka Rumduol,Organic,1950
4095,NHANG SUM|NS030,2023,13,Good,1,1,88,12,A1,Phka Rumduol,Organic,1950
4096,NHANG SUM|NS032,2023,14,Medium,0,1,0,0,A,White Rice,Organic,1550
4097,NHANG SUM|NS032,2023,13,Medium,1,2,70,30,A2,Phka Rumduol,Organic,1850
4098,NHANG SUM|NS037,2023,13,Medium,4,2,50,50,B2,Phka Rumduol,New_Organic,1750
4099,NHANG SUM|NS038,2023,13,Good,1,1,64,36,B1,Phka Rumduol,Organic,1800
4100,NHANG SUM|NS039,2023,13,Good,1,1,60,40,B1,Phka Rumduol,Organic,1800
4101,NHANG SUM|NS039,2023,14.5,Good,0,1,70,30,A2,Red Jasmine,Organic,1950
4102,NHANG SUM|NS040,2023,13,Good,1,1,70,30,A2,Phka Rumduol,Organic,1850
4103,NHANG SUM|NS041,2023,13,Good,1,1,94,6,A1,Phka Rumduol,Organic,1950
4104,NHANG SUM|NS042,2023,13,Good,0,1,0,0,A,White Rice,Organic,1550
4105,NHANG SUM|NS042,2023,13,Good,1,1,82,18,A1,Phka Rumduol,Organic,1950
4106,NHANG SUM|NS043,2023,13,Good,1,1,70,30,A2,Phka Rumduol,Organic,1850
4107,NHANG SUM|NS044,2023,13,Good,0,2,0,0,A,White Rice,New_Organic,1550
4108,NHANG SUM|NS044,2023,13,Good,0,1,0,0,A,White Rice,New_Organic,1550
4109,NHANG SUM|NS044,2023,13,Good,1,1,82,18,A1,Phka Rumduol,New_Organic,1950
4110,NHANG SUM|NS047,2023,14,Good,1,1,75,25,A1,Phka Rumduol,Organic,1950
4111,NHANG SUM|NS049,2023,13,Good,1,1,78,22,A1,Phka Rumduol,Organic,1950
4112,NHANG SUM|NS050,2023,13.3,Good,0,1,0,0,A,White Rice,New_Organic,1550
4113,NHANG SUM|NS050,2023,14.5,Medium,3,2,70,30,A2,Phka Rumduol,New_Organic,1850
