survey_id,farmer_uid,data_year,age,education,household_member,women,total_income_riel,spend_riel,homestead,cattle,buffalo
3748,KAMPONG SANGKAE|SK002,2022,,,,,,,600,0,0
5296,KAMPONG SANGKAE|SK002,2023,,,,,,,600,0,0
7307,KAMPONG SANGKAE|SK002,2024,53,Primary,10,4,4,5,600,4,3
3215,KAMPONG SANGKAE|SK003,2021,,,,,,,,,
3749,KAMPONG SANGKAE|SK003,2022,,,,,,,750,0,0
3216,KAMPONG SANGKAE|SK004,2021,,,,,,,,,
3836,KAMPONG SANGKAE|SK004,2022,,,,,,,1000,0,0
3217,KAMPONG SANGKAE|SK005,2021,,,,,,,,,
3750,KAMPONG SANGKAE|SK005,2022,,,,,,,400,0,0
3834,KAMPONG SANGKAE|SK006,2022,,,,,,,1200,0,0
3831,KAMPONG SANGKAE|SK007,2022,,,,,,,800,0,0
3214,KAMPONG SANGKAE|SK008,2021,,,,,,,,,
3837,KAMPONG SANGKAE|SK009,2022,,,,,,,1000,0,0
5297,KAMPONG SANGKAE|SK025,2023,,,,,,,800,0,0
7308,KAMPONG SANGKAE|SK025,2024,53,Primary,5,2,30,28,800,0,0
3751,KAMPONG SANGKAE|SK030,2022,,,,,,,600,0,0
5298,KAMPONG SANGKAE|SK030,2023,,,,,,,600,0,0
7309,KAMPONG SANGKAE|SK030,2024,43,Primary,5,3,10,8,600,6,0
3835,KAMPONG SANGKAE|SK032,2022,,,,,,,1000,0,0
3752,KAMPONG SANGKAE|SK037,2022,,,,,,,600,0,0
5299,KAMPONG SANGKAE|SK037,2023,,,,,,,375,0,0
7310,KAMPONG SANGKAE|SK037,2024,30,Primary,6,3,9,8,375,0,3
9445,KAMPONG SANGKAE|SK037,2025,31,Primary,6,3,2,1.5,375,0,0
3753,KAMPONG SANGKAE|SK042,2022,,,,,,,400,0,0
5300,KAMPONG SANGKAE|SK042,2023,,,,,,,750,0,0
7311,KAMPONG SANGKAE|SK042,2024,54,Primary,9,2,20,10,750,11,0
9446,KAMPONG SANGKAE|SK042,2025,34,Primary,5,3,20,10,750,12,0
3754,KAMPONG SANGKAE|SK065,2022,,,,,,,1200,0,0
5301,KAMPONG SANGKAE|SK078,2023,,,,,,,1000,0,0
7312,KAMPONG SANGKAE|SK078,2024,42,Literacy,6,4,1,2,1000,0,0
9447,KAMPONG SANGKAE|SK078,2025,42,Primary,6,4,2,2,1000,0,0
3755,KAMPONG SANGKAE|SK087,2022,,,,,,,1000,0,0
5302,KAMPONG SANGKAE|SK107,2023,,,,,,,600,0,0
7313,KAMPONG SANGKAE|SK107,2024,48,Primary,5,2,2,1,600,5,0
9448,KAMPONG SANGKAE|SK107,2025,80,Primary,5,2,5,5,600,6,0
7314,KAMPONG SANGKAE|SK108,2024,42,Primary,6,3,30,28,1500,6,2
5303,KAMPONG SANGKAE|SK114,2023,,,,,,,300,0,0
7315,KAMPONG SANGKAE|SK114,2024,45,Primary,5,1,3.5,3.5,300,4,4
3756,KAMPONG SANGKAE|SK116,2022,,,,,,,360,0,0
5304,KAMPONG SANGKAE|SK116,2023,,,,,,,800,0,0
7316,KAMPONG SANGKAE|SK116,2024,19,Secondary,7,3,18,17,800,22,0
5305,KAMPONG SANGKAE|SK123,2023,,,,,,,300,0,0
5306,KAMPONG SANGKAE|SK137,2023,,,,,,,700,0,0
7317,KAMPONG SANGKAE|SK137,2024,62,Primary,3,1,15,13,700,0,0
4409,KANCHANH KOUK|KCK001,2022,,,,,,,600,0,0
7884,KANCHANH KOUK|KCK001,2024,42,Primary,8,5,10,6,1500,0,0
10419,KANCHANH KOUK|KCK001,2025,41,Primary,4,3,12,11,3000,0,0
4404,KANCHANH KOUK|KCK002,2022,,,,,,,800,0,0
7885,KANCHANH KOUK|KCK002,2024,44,Primary,4,3,10,6,200,0,0
10420,KANCHANH KOUK|KCK002,2025,45,Primary,4,3,10,9.5,1200,0,0
7886,KANCHANH KOUK|KCK003,2024,32,Secondary,3,1,6,3,2000,2,0
10421,KANCHANH KOUK|KCK003,2025,30,Primary,4,1,3,3,350,0,0
7887,KANCHANH KOUK|KCK004,2024,43,Primary,6,2,6,4,1500,10,10
10422,KANCHANH KOUK|KCK004,2025,45,Primary,5,2,6,5,240,10,10
7888,KANCHANH KOUK|KCK005,2024,27,Primary,5,2,5,3,1500,1,0
10423,KANCHANH KOUK|KCK005,2025,28,Primary,5,2,6,5.5,100,3,0
7889,KANCHANH KOUK|KCK006,2024,37,Primary,6,2,5,3,2000,0,1
10424,KANCHANH KOUK|KCK006,2025,36,Primary,5,2,4.5,4,100,0,0
7890,KANCHANH KOUK|KCK007,2024,34,Primary,4,3,4,2,1600,10,10
10425,KANCHANH KOUK|KCK007,2025,37,Primary,5,3,4,4,600,1,9
7891,KANCHANH KOUK|KCK008,2024,33,Primary,7,2,3,2,1200,7,0
10426,KANCHANH KOUK|KCK008,2025,32,Primary,6,2,4,4,100,9,0
7892,KANCHANH KOUK|KCK009,2024,45,Primary,6,4,10,6,900,10,0
10427,KANCHANH KOUK|KCK009,2025,45,High school,6,4,10,9,100,14,0
7893,KANCHANH KOUK|KCK010,2024,51,Primary,5,3,5,4,1500,5,4
10428,KANCHANH KOUK|KCK010,2025,50,Primary,5,3,5,4.5,3500,5,0
7894,KANCHANH KOUK|KCK011,2024,38,Primary,6,3,5,2,1500,2,2
10429,KANCHANH KOUK|KCK011,2025,34,Primary,6,3,3.5,3,40,2,2
7895,KANCHANH KOUK|KCK012,2024,42,Literacy,6,2,5,4,500,6,1
10430,KANCHANH KOUK|KCK012,2025,21,Primary,5,2,20,15,3500,4,1
7896,KANCHANH KOUK|KCK013,2024,42,Primary,6,2,5,4,2000,10,0
10431,KANCHANH KOUK|KCK013,2025,42,Primary,6,2,150,32,360,15,0
7897,KANCHANH KOUK|KCK014,2024,38,Primary,8,3,8,6,900,10,0
10432,KANCHANH KOUK|KCK014,2025,40,Primary,8,3,20,15,600,10,0
7898,KANCHANH KOUK|KCK016,2024,50,Literacy,9,5,6,5,400,7,4
10433,KANCHANH KOUK|KCK016,2025,51,Primary,9,6,10,8.5,3600,10,0
7899,KANCHANH KOUK|KCK017,2024,62,Literacy,6,3,5,3,400,0,0
10434,KANCHANH KOUK|KCK017,2025,28,Literacy,6,3,3.5,2.5,70,0,0
10435,KANCHANH KOUK|KCK018,2025,38,Literacy,5,3,7.5,7,3600,3,0
10436,KANCHANH KOUK|KCK019,2025,29,Primary,7,3,5.5,5,3500,20,5
10437,KANCHANH KOUK|KCK022,2025,40,Primary,5,3,15,14,100,0,3
10438,KANCHANH KOUK|KCK023,2025,51,Primary,8,4,5,4.5,75,0,0
10439,KANCHANH KOUK|KCK024,2025,30,Primary,5,2,5,4,5000,7,0
10440,KANCHANH KOUK|KCK025,2025,40,Primary,5,3,6,5,100,0,0
10441,KANCHANH KOUK|KCK026,2025,29,Primary,4,2,3,2.5,640,7,5
10442,KANCHANH KOUK|KCK028,2025,33,Primary,5,4,4,3,100,10,0
10443,KANCHANH KOUK|KCK029,2025,23,High school,4,2,7.3,6.35,100,0,0
10444,KANCHANH KOUK|KCK030,2025,44,Primary,4,2,5,4,100,4,0
10445,KANCHANH KOUK|KCK031,2025,38,Primary,5,3,10,8,100,0,0
10446,KANCHANH KOUK|KCK032,2025,45,Literacy,4,2,6,5,600,0,0
10447,KANCHANH KOUK|KCK033,2025,22,High school,5,2,20,18,2000,0,0
10448,KANCHANH KOUK|KCK034,2025,63,Primary,6,3,4,3.5,100,2,3
10449,KANCHANH KOUK|KCK035,2025,47,Primary,5,3,8,6,100,0,7
10450,KANCHANH KOUK|KCK037,2025,25,Secondary,6,3,10,9,100,0,3
1990,KANG CHAM|KC003,2021,,,,,,,,,
5387,KANG CHAM|KC003,2023,,,,,,,2000,0,0
7392,KANG CHAM|KC003,2024,34,Primary,7,2,3,3.5,2000,0,0
9498,KANG CHAM|KC003,2025,32,Primary,5,2,2,0.7,2000,0,0
1991,KANG CHAM|KC004,2021,,,,,,,,,
3877,KANG CHAM|KC004,2022,,,,,,,5000,0,0
9499,KANG CHAM|KC004,2025,42,Primary,7,5,10,5,1250,0,0
1936,KANG CHAM|KC005,2021,,,,,,,,,
3868,KANG CHAM|KC005,2022,,,,,,,1600,0,0
5388,KANG CHAM|KC005,2023,,,,,,,2000,0,0
7393,KANG CHAM|KC005,2024,58,Primary,4,2,4,2,2000,0,0
9500,KANG CHAM|KC005,2025,58,Primary,4,2,5,5,2000,0,0
1998,KANG CHAM|KC007,2021,,,,,,,,,
3909,KANG CHAM|KC007,2022,,,,,,,4550,0,0
5389,KANG CHAM|KC007,2023,,,,,,,900,0,0
7394,KANG CHAM|KC007,2024,42,Primary,8,6,7,5,900,7,0
9501,KANG CHAM|KC007,2025,45,Secondary,9,5,5,3,900,5,0
1937,KANG CHAM|KC008,2021,,,,,,,,,
1933,KANG CHAM|KC009,2021,,,,,,,,,
1986,KANG CHAM|KC010,2021,,,,,,,,,
3894,KANG CHAM|KC010,2022,,,,,,,3000,0,0
1935,KANG CHAM|KC012,2021,,,,,,,,,
5390,KANG CHAM|KC012,2023,,,,,,,750,0,0
7395,KANG CHAM|KC012,2024,57,Primary,4,2,4,3,750,0,0
9502,KANG CHAM|KC012,2025,57,Literacy,4,2,10,10,750,0,0
1987,KANG CHAM|KC013,2021,,,,,,,,,
1938,KANG CHAM|KC014,2021,,,,,,,,,
3865,KANG CHAM|KC014,2022,,,,,,,4500,0,0
7396,KANG CHAM|KC014,2024,42,Primary,7,5,20,18,500,9,0
9503,KANG CHAM|KC014,2025,44,Primary,9,6,20,20,500,0,0
1992,KANG CHAM|KC015,2021,,,,,,,,,
1939,KANG CHAM|KC016,2021,,,,,,,,,
3869,KANG CHAM|KC016,2022,,,,,,,1326,0,0
5391,KANG CHAM|KC016,2023,,,,,,,1150,0,0
7397,KANG CHAM|KC016,2024,34,Secondary,6,3,4,3,1150,0,0
9504,KANG CHAM|KC016,2025,37,Secondary,6,3,8,6,1150,0,0
1989,KANG CHAM|KC017,2021,,,,,,,,,
3959,KANG CHAM|KC017,2022,,,,,,,1250,0,0
1988,KANG CHAM|KC018,2021,,,,,,,,,
